Estacion,Linea,Transborde,Coordenadas,Color
Buenavista ,B,-  ,"19.44616605852739, -99.15234729193156",#274e13
Guerrero,B,LINEA 3,"19.444746242800605, -99.14519031550479",#274e13
Garibaldi,B,LINEA 8,"19.44375114452902, -99.1385520804533",#274e13
Lagunilla,B,-  ,"19.44337313722006, -99.13180574978081",#274e13
Tepito,B,-  ,"19.442819954218557, -99.1241110218661",#274e13
Morelos,B,LINEA 4,"19.43969382819857, -99.11808659967339",#274e13
San Lázaro ,B,LINEA 1,"19.43112004184689, -99.11414018439925",#274e13
Flores Magon ,B,-  ,"19.436512175114967, -99.10361216263034",#274e13
Romero Rubio,B,-  ,"19.440783024902842, -99.09416435214084",#274e14
Oceania,B,LINEA 5 ,"19.450983025135738, -99.07932618006804",#274e15
Deportivo Oceania,B,-  ,"19.458051465739274, -99.06925503219458",#274e16
Bosque de Aragon,B,-  ,"19.45813311044286, -99.06936583407162",#274e17
Villa de Aragon,B,-  ,"19.461718365920383, -99.06131022918746",#274e18
Nezahualcoyotl,B,-  ,"19.472600184629748, -99.05471077205473",#274e19
Impulsora,B,-  ,"19.485517068217433, -99.04909685544837",#274e20
Rio de los Remedios,B,-  ,"19.4909888396029, -99.04661849442132",#274e21
Muzquiz,B,-  ,"19.501224768113, -99.04213470216439",#274e22
Ecatepec,B,-  ,"19.51540280299294, -99.03583700668662",#274e23
Olimpica,B,-  ,"19.52138100888812, -99.0333237583239",#274e24
Plaza Aragon,B,-  ,"19.528376715010012, -99.03019659691822",#274e25
Ciudad Azteca,B,-  ,"19.534787387214497, -99.02735345542239",#274e26
Observatorio,1,-  ,"19.398191123487997, -99.20025390237181",#ed72c8
Tacubaya,1,"LINEA 7,9","19.401922412174184, -99.18734946395818",#ed72c9
Juanacatlán,1,-  ,"19.412931641528314, -99.1820096685471",#ed72c10
Chapultepec,1,-  ,"19.420610924600066, -99.17692152187905",#ed72c11
Sevilla,1,-  ,"19.42155374337715, -99.17105031880837",#ed72c12
Insurgentes,1,-  ,"19.42363315902518, -99.16330172415394",#ed72c13
Cuauhtémoc,1,-  ,"19.425804622643373, -99.15471242521808",#ed72c14
Balderas,1,LINEA 3,"19.427218478319578, -99.14887340761946",#ed72c15
Salto del Agua,1,LINEA 8,"19.427202512181264, -99.14207160339446",#ed72c16
Isabel la Católica,1,-  ,"19.426080934411086, -99.13793552121267",#ed72c17
Pino Suárez,1,,"19.425866140386454, -99.13302577674824",#ed72c18
Merced,1,,"19.425600148570446, -99.12523596152488",#ed72c19
Candelaria,1,,"19.429395211821838, -99.12116443033447",#ed72c20
San Lázaro,1,,"19.43112004184689, -99.11414018439925",#ed72c21
Moctezuma,1,,"19.4271594300208, -99.11043201072341",#ed72c22
Balbuena,1,,"19.423173520653, -99.10281082993345",#ed72c23
Boulevard Puerto Aéreo,1,,"19.4195691567328, -99.0966734188627",#ed72c24
Gómez Farías,1,,"19.416346363539112, -99.09010886163674",#ed72c25
Zaragoza,1,,"19.41210891541401, -99.08253809687702",#ed72c26
Pantitlán,1,,"19.415040707086533, -99.0741168053671",#ed72c27
Cuatro Caminos,2,,"19.459555003356105, -99.21589164660284",#0669c5
Panteones,2,,"19.458620023738604, -99.20305015011668",#0669c6
Tacuba,2,,"19.45925114097283, -99.18756835451119",#0669c7
Cuitláhuac,2,,"19.457170794668446, -99.18143280286071",#0669c8
Popotla,2,,"19.45283707827603, -99.17549657043338",#0669c9
Colegio Militar,2,,"19.449305935723523, -99.17179070830362",#0669c10
Normal,2,,"19.444668748462473, -99.16734346059687",#0669c11
San Cosme,2,,"19.441905023563866, -99.16069656344969",#0669c12
Revolución,2,,"19.439200596898008, -99.15423846450881",#0669c13
Hidalgo,2,,"19.437488052647076, -99.14715403502913",#0669c14
Bellas Artes,2,,"19.435903571081095, -99.141834197821",#0669c15
Allende,2,,"19.43561420917989, -99.13684302061155",#0669c16
Zócalo/Tenochtitlan,2,,"19.432519845088706, -99.13229847347054",#0669c17
Pino Suárez,2,,"19.425911886246336, -99.13306595500546",#0669c18
San Antonio Abad,2,,"19.41577055528858, -99.13458916156561",#0669c19
Chabacano,2,,"19.40913682919832, -99.13561868491624",#0669c20
Viaducto,2,,"19.400927348341742, -99.13688533754238",#0669c21
Xola,2,,"19.39520962877384, -99.13782151392076",#0669c22
Villa de Cortés,2,,"19.387595507898524, -99.1389656084255",#0669c23
Nativitas,2,,"19.37949471751637, -99.1402400282707",#0669c24
